StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,se tiene en cuenta,razon,showupfee simple,showup fee extendido
2/4/2022 16:53,2/4/2022 17:45,0,186.86.52.235,100,3112,1,2/4/2022 17:45,R_2ahLgvUFJL9L3Df,SI,RECIBIDA,no,si
2/5/2022 5:05,2/5/2022 5:57,0,181.55.68.1,100,3118,1,2/5/2022 5:57,R_9YPD0h105eIUq2d,SI,RECIBIDA,no,si
2/5/2022 6:36,2/5/2022 7:28,0,179.14.195.201,100,3118,1,2/5/2022 7:28,R_3qyhnjpeXE0A4rX,SI,RECIBIDA,no,si
2/4/2022 19:12,2/4/2022 20:04,0,186.84.88.192,100,3129,1,2/4/2022 20:04,R_2TuCkcTNAXoa8PL,SI,RECIBIDA,no,si
2/4/2022 22:43,2/4/2022 23:35,0,190.84.131.9,100,3149,1,2/4/2022 23:35,R_2bNm6wZALZNdT9L,SI,RECIBIDA,no,si
2/7/2022 10:39,2/7/2022 11:32,0,190.68.206.3,100,3150,1,2/7/2022 11:32,R_AiIjv4IPXmgRSbn,SI,RECIBIDA,no,si
2/5/2022 7:14,2/5/2022 8:07,0,177.254.61.182,100,3172,1,2/5/2022 8:07,R_1JJYuT147PkD9aX,SI,RECIBIDA,no,si
1/28/2022 16:44,1/28/2022 17:37,0,190.66.69.25,100,3198,1,1/28/2022 17:37,R_zcLNUCKmd8pGY8h,SI,RECIBIDA,no,si
2/4/2022 16:21,2/4/2022 17:14,0,181.58.39.218,100,3210,1,2/4/2022 17:14,R_3CNPqcTfYlkczmn,SI,RECIBIDA,no,si
1/28/2022 16:27,1/28/2022 17:21,0,191.95.131.22,100,3211,1,1/28/2022 17:21,R_1GwqYVJa0GlKmcp,SI,RECIBIDA,no,si
2/7/2022 11:03,2/7/2022 11:57,0,186.86.52.74,100,3211,1,2/7/2022 11:57,R_bsKanECKvmgjmb7,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 17:11,0,191.95.136.57,100,3212,1,2/4/2022 17:11,R_t0qtB72vhy2Uh1f,SI,RECIBIDA,no,si
2/6/2022 7:53,2/6/2022 8:46,0,201.221.172.40,100,3213,1,2/6/2022 8:46,R_3MhZcqiweLAb7Eg,SI,RECIBIDA,no,si
2/4/2022 17:47,2/4/2022 18:40,0,186.29.230.64,100,3216,1,2/4/2022 18:40,R_SBgCxCYRsqGijfP,SI,RECIBIDA,no,si
1/29/2022 7:53,1/29/2022 8:47,0,201.233.104.61,100,3235,1,1/29/2022 8:47,R_wY5P5VA1zf50hqN,SI,RECIBIDA,no,si
1/28/2022 15:59,1/28/2022 16:53,0,191.88.155.99,100,3237,1,1/28/2022 16:53,R_8vxO3DuravRBtzX,SI,RECIBIDA,no,si
2/4/2022 16:20,2/4/2022 17:14,0,191.95.141.117,100,3245,1,2/4/2022 17:14,R_1QF9mJEWTIcBfVf,SI,RECIBIDA,no,si
2/7/2022 12:24,2/7/2022 13:18,0,190.7.146.235,100,3250,1,2/7/2022 13:18,R_27d83PHFG7YE40f,SI,RECIBIDA,no,si
2/4/2022 16:16,2/4/2022 17:10,0,181.235.47.117,100,3259,1,2/4/2022 17:10,R_1mlbdtbT5AtPOn6,SI,RECIBIDA,no,si
1/28/2022 15:53,1/28/2022 16:47,0,186.82.84.250,100,3268,1,1/28/2022 16:47,R_1o1kjIVO1BDdK0l,SI,RECIBIDA,no,si
2/6/2022 9:44,2/6/2022 10:39,0,191.95.60.13,100,3270,1,2/6/2022 10:39,R_1N4w91RecRPWRJR,SI,RECIBIDA,no,si
2/1/2022 15:21,2/1/2022 16:16,0,181.60.27.86,100,3302,1,2/1/2022 16:16,R_2CqzG6RtLS0UnTM,SI,RECIBIDA,no,si
2/5/2022 11:20,2/5/2022 12:15,0,67.73.231.128,100,3308,1,2/5/2022 12:15,R_ezgHYJbPK5t5UY1,SI,RECIBIDA,no,si
2/7/2022 13:35,2/7/2022 14:30,0,186.28.33.109,100,3308,1,2/7/2022 14:30,R_2SxgninQAEROTnd,SI,RECIBIDA,no,si
2/4/2022 20:42,2/4/2022 21:37,0,186.83.255.69,100,3312,1,2/4/2022 21:37,R_2zRPpHDRP92jfLL,SI,RECIBIDA,no,si
2/4/2022 19:51,2/4/2022 20:47,0,181.78.21.149,100,3320,1,2/4/2022 20:47,R_3qDS4xQE8wFCxaR,SI,RECIBIDA,no,si
2/4/2022 20:41,2/4/2022 21:37,0,181.235.157.47,100,3326,1,2/4/2022 21:37,R_2fGIDxAtpgB84E6,SI,RECIBIDA,no,si
2/4/2022 18:44,2/4/2022 19:39,0,181.60.45.86,100,3328,1,2/4/2022 19:39,R_3PAJPPOBBvZ5SgZ,SI,RECIBIDA,no,si
2/4/2022 16:27,2/4/2022 17:22,0,190.84.119.127,100,3329,1,2/4/2022 17:22,R_2TGlnaURtshfQNN,SI,RECIBIDA,no,si
2/4/2022 17:21,2/4/2022 18:16,0,181.56.85.206,100,3333,1,2/4/2022 18:16,R_1PTWmFg4RmNwACp,SI,RECIBIDA,no,si
2/7/2022 10:34,2/7/2022 11:30,0,24.45.151.202,100,3334,1,2/7/2022 11:30,R_PSNyrpmcO6zArpD,SI,RECIBIDA,no,si
2/7/2022 11:11,2/7/2022 12:07,0,83.52.98.103,100,3337,1,2/7/2022 12:07,R_1LqkiZ3WdCiTeaa,SI,RECIBIDA,no,si
2/4/2022 16:24,2/4/2022 17:20,0,179.12.76.146,100,3338,1,2/4/2022 17:20,R_3G7YXhjRjGwCaa0,SI,RECIBIDA,no,si
2/5/2022 18:31,2/5/2022 19:27,0,186.84.174.208,100,3343,1,2/5/2022 19:27,R_3Jtp1TWT6m04ikc,SI,RECIBIDA,no,si
2/5/2022 5:40,2/5/2022 6:36,0,186.114.1.237,100,3347,1,2/5/2022 6:36,R_2V3jcwfVRuBLC2S,SI,RECIBIDA,no,si
2/5/2022 11:36,2/5/2022 12:32,0,186.30.145.238,100,3350,1,2/5/2022 12:32,R_3fN9bRAmm3A5jHQ,SI,RECIBIDA,no,si
2/6/2022 8:53,2/6/2022 9:49,0,181.62.53.49,100,3356,1,2/6/2022 9:49,R_2qdDDdc9TqSJeCp,SI,RECIBIDA,no,si
2/7/2022 5:59,2/7/2022 6:55,0,191.95.166.5,84,3374,0,2/7/2022 15:32,R_27NDlO0AMl8iiyB,SI,RECIBIDA,no,si
2/4/2022 19:21,2/4/2022 20:17,0,45.65.234.117,100,3376,1,2/4/2022 20:17,R_3dNejZVPdEbIxTj,SI,RECIBIDA,no,si
2/7/2022 11:28,2/7/2022 12:24,0,15.228.186.189,100,3376,1,2/7/2022 12:24,R_2rqqCU1q7BkNDSD,SI,RECIBIDA,no,si
2/5/2022 7:51,2/5/2022 8:47,0,186.82.179.189,100,3378,1,2/5/2022 8:47,R_SAG6JdRnuCW2X2V,SI,RECIBIDA,no,si
2/4/2022 19:02,2/4/2022 19:58,0,186.169.136.80,100,3382,1,2/4/2022 19:58,R_3MrHTR08o2n8YyM,SI,RECIBIDA,no,si
1/30/2022 17:43,1/30/2022 18:40,0,191.156.10.58,100,3402,1,1/30/2022 18:40,R_1hxUvlpdF7xX7MB,SI,RECIBIDA,no,si
2/4/2022 16:25,2/4/2022 17:22,0,181.135.3.219,100,3405,1,2/4/2022 17:22,R_2EgG3iayRHKQayX,SI,RECIBIDA,no,si
2/5/2022 4:04,2/5/2022 5:01,0,191.95.31.207,100,3409,1,2/5/2022 5:01,R_247wAHNmDBTXbjE,SI,RECIBIDA,no,si
2/6/2022 8:19,2/6/2022 9:16,0,177.254.134.85,100,3425,1,2/6/2022 9:16,R_eUKBiHKdXtJzobf,SI,RECIBIDA,no,si
2/7/2022 10:37,2/7/2022 11:34,0,186.84.89.176,100,3430,1,2/7/2022 11:34,R_31FQnt7t4fJfJDK,SI,RECIBIDA,no,si
2/6/2022 15:40,2/6/2022 16:38,0,186.154.87.150,100,3431,1,2/6/2022 16:38,R_3KGBi5QlIDqGAiB,SI,RECIBIDA,no,si
2/4/2022 18:35,2/4/2022 19:32,0,181.61.82.247,100,3434,1,2/4/2022 19:32,R_1puiaAdmJql71wl,SI,RECIBIDA,no,si
2/4/2022 16:21,2/4/2022 17:19,0,181.128.98.51,100,3439,1,2/4/2022 17:19,R_1hZ8nUXiNgZ6Pm1,SI,RECIBIDA,no,si
2/5/2022 6:06,2/5/2022 7:04,0,181.62.52.91,100,3441,1,2/5/2022 7:04,R_1KpOyazNm2nxZtG,SI,RECIBIDA,no,si
2/4/2022 16:34,2/4/2022 17:32,0,191.95.130.140,100,3449,1,2/4/2022 17:32,R_25LpEGvRwaSKO1m,SI,RECIBIDA,no,si
2/7/2022 7:48,2/7/2022 8:46,0,152.200.103.10,100,3449,1,2/7/2022 8:46,R_tRigs3VkHlRXGxP,SI,RECIBIDA,no,si
2/4/2022 16:26,2/4/2022 17:23,0,181.52.129.116,100,3453,1,2/4/2022 17:23,R_2y7P4HbNVP78ZRH,SI,RECIBIDA,no,si
2/4/2022 16:24,2/4/2022 17:22,0,190.96.147.42,100,3467,1,2/4/2022 17:22,R_1Dwlx1LN79on3KY,SI,RECIBIDA,no,si
2/7/2022 6:44,2/7/2022 7:42,0,181.136.237.232,100,3471,1,2/7/2022 7:42,R_3Pi997ociQPNuoy,SI,RECIBIDA,no,si
1/28/2022 16:32,1/28/2022 17:30,0,191.102.221.240,100,3474,1,1/28/2022 17:30,R_1eK4DNzqkgJNBUh,SI,RECIBIDA,no,si
2/7/2022 14:34,2/7/2022 15:32,0,186.0.68.45,84,3476,0,2/7/2022 15:32,R_yPi1m8fCEPfnZ6N,SI,RECIBIDA,no,si
2/4/2022 16:46,2/4/2022 17:44,0,186.98.250.168,100,3479,1,2/4/2022 17:44,R_RxJ9BoHF7AGUNoZ,SI,RECIBIDA,no,si
2/7/2022 12:10,2/7/2022 13:08,0,186.116.225.103,100,3480,1,2/7/2022 13:08,R_1mOXI9BP6aUgM5X,SI,RECIBIDA,no,si
2/7/2022 12:24,2/7/2022 13:22,0,201.190.74.193,100,3481,1,2/7/2022 13:22,R_12s62H11Mm2978A,SI,RECIBIDA,no,si
2/4/2022 16:23,2/4/2022 17:21,0,181.56.90.217,100,3484,1,2/4/2022 17:21,R_12F5aG3MOsnGhGD,SI,RECIBIDA,no,si
2/7/2022 13:55,2/7/2022 14:53,0,186.114.58.246,100,3490,1,2/7/2022 14:53,R_3EMTINlnxcx7A7Y,SI,RECIBIDA,no,si
