ResponseId,ticket,Durationinseconds,Progress
R_xctp6PDykLf5Ec1,162fb3c81f41adc1_861b49d1857524a8_cc430c747a15dd31_dda158ebbe6c47d5449560ba6b2a497e,173277,100
R_1qU2tJRAUCfpoVx,4f1b04d23ad40b9d_861b49d1857524a8_cc430c747a15dd31_779d79aaf334cace2f6e39879e2fcc78,12642,100
R_2a9vxWyRyBVEE9w,7f290c5f54f39466_861b49d1857524a8_cc430c747a15dd31_5e31c4403ec21f3a13e9d980eb30e59d,4124,100
R_31v0gslWFhDjvCw,2bf7d9088b9312c8_861b49d1857524a8_cc430c747a15dd31_1678e5fc7b46df4968b214102f91e4a9,6095,100
R_10HQRoT02yDljL9,c4a63d5138750f37_861b49d1857524a8_cc430c747a15dd31_0ad0a631792d99b81f7bef4af58c6012,86905,100
R_2PpYn9Fy5aqfcN5,9dcd28696d57a474_861b49d1857524a8_cc430c747a15dd31_2c39e6f09da4ff454187da79b34e13a2,7003,100
R_1r7VywCnuIXGKIc,4dcca93a57ca9829_861b49d1857524a8_cc430c747a15dd31_93cb3c49c48720b5d9689d0518850561,318288,100
R_2f2jachRmTpV76T,1f1f103a0ad32836_861b49d1857524a8_cc430c747a15dd31_f9ec00de7c72e68bfe22b40a6f2401b7,3654,100
R_1ob7kQo8DQm4ZWL,c9c2649344c1baba_861b49d1857524a8_cc430c747a15dd31_4f1b399e75a4afb308a5379980ecfd43,3010,100
R_1Fs1b1YolkvXGfp,7f21c980b40bfa5d_861b49d1857524a8_cc430c747a15dd31_bafce1b2fc4185d8d3d716b9d41b9a1f,7836,100
R_2CqzG6RtLS0UnTM,c2a3a14fa381fc20_861b49d1857524a8_cc430c747a15dd31_b6a8d03217167680f5baa8e6f86d01b8,3302,100
R_21EXJ3XvQJI1z5H,760fb4af9dbd0d69_861b49d1857524a8_cc430c747a15dd31_9e3d1825b1f6b0809b5805b381e3b507,3086,100
R_1mx5A5JAJGwPYjo,802150847c843d84_861b49d1857524a8_cc430c747a15dd31_c3d120328294058ff121c8ab4b4ca25f,326188,100
R_3PAVHdliJk7ogHF,a27f696dd54df898_861b49d1857524a8_cc430c747a15dd31_c931113f740524cdc4b691702a4d3308,3567,100
R_yWKcphWrfmazay5,8969438df8cc7dc9_861b49d1857524a8_cc430c747a15dd31_cdaa6aa50b59becf6535a647df15d7bc,3707,100
